"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"1","Wright Flyer III","1","September 17, 1908","1   (passengers:1  crew:0)","?","0","Fort Myer, Virginia","Military - U.S. Army","?","Demonstration","During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","1718"
"2","Wright Byplane","?","September 07, 1909","1   (passengers:0  crew:0)","?","0","Juvisy-sur-Orge, France","?","SC1","Air show","Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.","?"
"3","Dirigible","?","July 12, 1912","5   (passengers:0  crew:5)","?","0","Atlantic City, New Jersey","Military - U.S. Navy","?","Test flight","First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","0630"
"4","Curtiss seaplane","?","August 06, 1913","1   (passengers:0  crew:1)","?","0","Victoria, British Columbia, Canada","Private","?","?","The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.","?"
"5","Zeppelin L-1 (airship)","?","September 09, 1913","14   (passengers:?  crew:?)","?","0","Over the North Sea","Military - German Navy","?","?","The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.","1830"
"6","Zeppelin L-2 (airship)","?","October 17, 1913","28   (passengers:?  crew:?)","?","0","Near Johannisthal, Germany","Military - German Navy","?","?","Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.","1030"
"7","Zeppelin L-8 (airship)","?","March 05, 1915","17   (passengers:0  crew:17)","?","0","Tienen, Belgium","Military - German Navy","?","?","Crashed into trees while attempting to land after being shot down by British and French aircraft.","0100"
"8","Zeppelin L-10 (airship)","?","September 03, 1915","19   (passengers:?  crew:?)","?","0","Off Cuxhaven, Germany","Military - German Navy","?","?","Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","1520"
"9","Schutte-Lanz S-L-10 (airship)","?","July 28, 1916","20   (passengers:?  crew:?)","?","0","Near Jambol, Bulgeria","Military - German Army","?","?","Crashed near the Black Sea, cause unknown.","?"
"10","Zeppelin L-32 (airship)","?","September 24, 1916","22   (passengers:?  crew:?)","?","0","Billericay, England","Military - German Navy","?","?","Shot down by British aircraft crashing in flames.","0100"
"11","Zeppelin L-31 (airship)","?","October 01, 1916","19   (passengers:0  crew:19)","?","0","Potters Bar, England","Military - German Navy","?","?","Shot down in flames by the British 39th Home Defence Squadron.","2345"
"12","Super Zeppelin (airship)","?","November 21, 1916","27   (passengers:?  crew:?)","?","0","Mainz, Germany","Military - German Army","?","?","Crashed in a storm.","?"
"13","Zeppelin L-34 (airship)","?","November 28, 1916","20   (passengers:?  crew:?)","?","0","Off West Hartlepool, England","Military - German Navy","?","?","Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.","2345"
"14","Airship","?","March 04, 1917","20   (passengers:?  crew:?)","?","0","Near Gent, Belgium","Military - German Army","?","?","Caught fire and crashed.","?"
"15","Schutte-Lanz S-L-9 (airship)","?","March 30, 1917","23   (passengers:?  crew:?)","?","0","Off Northern Germany","Military - German Navy","?","?","Struck by lightning and crashed into the Baltic Sea.","?"
"16","Zeppelin L-22 (airship)","?","May 14, 1917","21   (passengers:?  crew:?)","?","0","Near Texel Island, North Sea","Military - German Navy","?","?","Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","0515"
"17","Zeppelin L-43 (airship)","?","June 14, 1917","24   (passengers:?  crew:?)","?","0","Off Vlieland Island, North Sea","Military - German Navy","?","?","Shot down by British aircraft.","0845"
"18","Zepplin L-48 (air ship)","?","June 17, 1917","14   (passengers:?  crew:?)","?","0","Near Yarmouth, England","?","L-48","?","Shot down by aircraft.","?"
"19","Zeppelin L-23 (airship)","?","August 21, 1917","18   (passengers:?  crew:?)","?","0","Off western Denmark","Military - German Navy","?","?","Shot down by British aircraft.","0700"
"20","Zeppelin L-44 (airship)","?","October 20, 1917","18   (passengers:?  crew:?)","?","0","Near Luneville, France","Military - German Navy","?","?","Shot down by French anti-aircraft fire.","0745"
"21","Zeppelin L-59 (airship)","?","April 07, 1918","23   (passengers:?  crew:?)","?","0","Over the Mediterranean","Military - German Navy","?","?","Exploded and crashed into the sea off the southern coast of Italy.","2130"
"22","Zeppelin L-70 (airship)","?","August 05, 1918","22   (passengers:?  crew:?)","?","0","Off Helgoland Island, Germany","Military - German Navy","?","?","Shot down by British aircraft crashing from a height of 17,000 ft.","?"
"23","Zeppelin L-53 (airship)","?","August 11, 1918","19   (passengers:?  crew:?)","?","0","Ameland Island, North Sea","Military - German Navy","?","?","Shot down by british aircraft.","1000"
"24","De Havilland DH-4","?","December 16, 1918","1   (passengers:0  crew:1)","?","0","Elizabeth, New Jersey","US Aerial Mail Service","97","?","Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.","?"
"25","De Havilland DH-4","?","May 25, 1919","1   (passengers:0  crew:1)","?","0","Cleveland, Ohio","US Aerial Mail Service","61","?","Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.","?"
"26","De Havilland DH-4","?","July 19, 1919","1   (passengers:0  crew:1)","?","0","Dix Run, Pennsylvania","US Aerial Mail Service","82","?","The mail plane crashed under unknown circumstances.","?"
"27","FD Type Dirigible","?","July 21, 1919","3   (passengers:2  crew:1)","?","10","Chicago, Illinois","Wingfoot Air Express Goodyear Tire","?","Shuttle","The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","1655"
"28","Caproni Ca.48","?","August 02, 1919","14   (passengers:12  crew:2)","?","0","Verona, Italy","Caproni Company","?","Venice  Taliedo","As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.","?"
"29","De Havilland DH-4","?","October 02, 1919","1   (passengers:0  crew:1)","?","0","Newcastle, England","Aircraft Transport and Travel","?","?","?","?"
"30","Curtiss R-4LM","?","October 14, 1919","1   (passengers:0  crew:1)","?","0","Cantonsville, Maryland","US Aerial Mail Service","32","?","The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.","?"
"31","De Havilland DH-4","?","October 20, 1919","0   (passengers:0  crew:0)","?","0","English Channel off Forkstone, Kent","Aircraft Transport and Travel","G-EAHG","?","Crashed into the sea while attempting to land in fog.","?"
"32","De Havilland DH.4","77","October 30, 1919","1   (passengers:0  crew:1)","?","0","Long Valley, New Jersey","US Aerial Mail Service","77","?","While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.","?"
"33","de Havilland DH-4","?","December 11, 1919","1   (passengers:1  crew:1)","?","0","Catherham, Surrey, UK","Aircraft Travel Transport","G-EAHF","Paris - Hounslow","Crashed in a field while attemptting to land.","?"
"34","De Havilland DH-4","?","March 10, 1920","1   (passengers:0  crew:1)","?","0","New Paris, Indiana","US Aerial Mail Service","65","?","While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.","?"
"35","De Havilland DH-4","?","March 30, 1920","1   (passengers:0  crew:1)","?","0","Newark, New Jersey","US Aerial Mail Service","72","Washington - Newark","George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.","?"
"36","Curtiss R-4LM","?","April 10, 1920","1   (passengers:0  crew:1)","?","0","Newark, New Jersey","US Aerial Mail Service","49","?","After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.","?"
"37","Curtiss JN-4H","?","April 11, 1920","1   (passengers:0  crew:1)","?","0","Heller Field, New Jersey","US Aerial Mail Service","44","?","The aircraft crashed while on approach for unknown reasons.","?"
"38","De Havilland DH-4","?","May 12, 1920","1   (passengers:1  crew:0)","?","0","Oskaloosa, Iowa","US Aerial Mail Service","79","?","In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.","?"
"39","De Havilland DH-4","?","June 06, 1920","1   (passengers:0  crew:1)","?","0","Cleveland, Ohio","US Aerial Mail Service","204","?","The aircraft suffered engine failure and crashed shortly after taking off.","?"
"40","Farman F-40","?","July 20, 1920","1   (passengers:1  crew:1)","?","0","Cartagena, Columbia","Compañia Colombiana de Navegación Aérea","?","?","Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.","?"
"41","Armstrong-Whitworth F-K-8","?","August 16, 1920","1   (passengers:0  crew:1)","?","0","Bedford, England","By Air","G-EALW","?","The plane crashed during a cargo flight under unknown circumstances.","?"
"42","De Havilland DH-4","?","August 16, 1920","1   (passengers:0  crew:1)","?","0","College Park, Maryland","US Aerial Mail Service","317","?","While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.","?"
"43","Junkers JL-6","?","September 01, 1920","2   (passengers:0  crew:2)","?","0","Morristown, New Jersey","US Aerial Mail Service","305","?","While en route, the mail plane went out of control and crashed after experiencing an in flight fire.","?"
"44","Junkers F-13","?","September 15, 1920","2   (passengers:?  crew:?)","?","0","Pemberville, Ohio","US Aerial Mail Service","308","?","The pilot crashed after attempting to make an emergency landing after the engine caught fire.","?"
"45","De Havilland DH-4","?","September 27, 1920","1   (passengers:0  crew:1)","?","0","Hillersburg, Pennsylvania","US Aerial Mail Service","316","?","The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.","?"
"46","Salmson 2-A-2","31","October 02, 1920","2   (passengers:1  crew:1)","?","0","Off Port Vendres, France","Latecoere Airlines","F-ALAI","?","Crashed into the Mediterranean while on a mail flight.","?"
"47","Breguet 14","20","October 05, 1920","2   (passengers:1  crew:1)","?","0","Valencia, Spain","Latecoere Airlines","F-ALTA","?","While on a mail flight the plane crashed while attempting to land.","?"
"48","De Havilland DH-4","?","October 15, 1920","1   (passengers:0  crew:1)","?","0","Batavia, Illinois","US Aerial Mail Service","76","?","While attempting to land in fog the aircraft hit an obstruction and crashed.","?"
"49","De Havilland DH-4","178","November 07, 1920","1   (passengers:0  crew:1)","?","0","Tie Siding, Wyoming","US Aerial Mail Service","?","?","The aircraft crashed into a mountain in poor weather condtions.","?"
"50","Handley Page HP-16","HP-25","December 14, 1920","4   (passengers:2  crew:2)","?","0","London, England","Handley Page Transport","G-EAMA","London - Paris","The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..","1215"
"51","Breguet 14","57","December 24, 1920","1   (passengers:0  crew:1)","?","0","Barcelona, Spain","Aeropostale","F-ALBO","?","The aircraft stalled and crashed when an engine failed.","?"
"52","De Havilland DH-4","?","February 03, 1921","1   (passengers:0  crew:1)","?","0","Mendotta, Minnisota","US Aerial Mail Service","130","?","Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.","?"
"53","Junkers F-13","?","February 09, 1921","3   (passengers:0  crew:3)","?","0","La Crosse, Wisconsin","US Aerial Mail Service","301","?","Crashed for unknown reasons. Both pilots and the mechanic were killed.","?"
"54","Breguet 14","?","February 15, 1921","2   (passengers:0  crew:2)","?","0","Off Gibraltar","Aeropostale","F-ALBA","?","The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.","?"
"55","De Havilland DH-4","?","February 22, 1921","1   (passengers:0  crew:1)","?","0","Elko, Nevada","US Aerial Mail Service","67","?","Shortly after taking off, the aircraft stalled and crashed .","?"
"56","Avro 504","?","April 06, 1921","2   (passengers:0  crew:0)","?","0","Point Cook, Australia","Military - Royal Australian Air Force","H3021","?","Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.","?"
"57","De Havilland DH-4","?","April 21, 1921","1   (passengers:0  crew:1)","?","0","Mitchel Field, NY","US Aerial Mail Service","160","?","After taking off the aircraft stalled and crashed.","?"
"58","De Havilland DH-4","?","April 29, 1921","1   (passengers:0  crew:1)","?","0","Cleveland, Ohio","US Aerial Mail Service","196","?","The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.","?"
"59","De Havilland DH-4
De Havilland DH-4","?","May 17, 1921","1   (passengers:0  crew:1)","?","0","Rock Springs, Wyoming","US Aerial Mail Service","176","?","Crashed while attempting to land.","?"
"60","Breguet 14","?","August 14, 1921","2   (passengers:?  crew:?)","?","0","Toulouse, France","Aeropostale","F-ALBI","?","?","?"
"61","Royal Airship Works ZR-2 (airship)","R-38","August 24, 1921","43   (passengers:0  crew:43)","?","1","River Humber, England","Military - Royal Airship Works","R-38","?","Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.","1740"
"62","Potez IX","160","September 06, 1921","5   (passengers:4  crew:1)","?","0","Paris, France","Franco-Roumaine","F-ADCD","Warsaw - Prague - Strasbourg - Paris","Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.","?"
"63","Bristol 28 Tourer","6116","December 05, 1921","2   (passengers:0  crew:2)","?","0","Near Murchinson River, Australia","West Australian Airways","G-AUDI","Geraldton - Derby","On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.","?"
"64","Handley Page O/10","HP-43","January 14, 1922","5   (passengers:4  crew:1)","?","5","Paris, France","Handley Page Transport","G-EATN","?","Crashed at Le Bourget field.","?"
"65","Dirigible Roma (airship)","?","February 21, 1922","34   (passengers:?  crew:?)","?","0","Near Norfolk, Virginia","Military - U.S. Army Air Service","?","?","Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.","?"
"66","Aeromarine Model 85 (flying boat)","?","March 22, 1922","5   (passengers:5  crew:0)","?","0","North Atlantic Ocean","Aero Limited","?","Miami - Bimini","The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.","1140"
"67","de Havilland DH-18 / Farman F-60 Goliath","4","April 07, 1922","7   (passengers:5  crew:2)","?","0","Grandvilliers, France","Daimler Airways / Grands Express Aeriens","G-EAOW/FGEAD","Croydon - Le Bourget","A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","1315"
"68","?","?","April 08, 1922","17   (passengers:0  crew:17)","?","0","Pao Ting Fou, China","?","?","Test","Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.","?"
"69","Bleriot Spad 27","555","June 03, 1922","3   (passengers:2  crew:1)","?","0","Off Folkestone, Kent, England","Cie des Messageries Aeriennes","F-ACMH","Croydon - Paris","Went down into the English Channel while en route.","?"
"70","LVG C VI","?","July 04, 1922","2   (passengers:1  crew:1)","?","0","Fuhlsbuttel, Germany","?","?","Hamburg - Berlin","The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).","?"
"71","Potez 29","25","July 16, 1922","5   (passengers:4  crew:1)","?","0","Near Saverne, Lorraine, France","Compagnie Franco-Roumaine de Navigaation Aerienne","F-FREI","Strasbourg - Paris","Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.","1645"
"72","Breguet 14","117","July 26, 1922","3   (passengers:2  crew:1)","?","0","Cadix, Spain","Grands Express Aeriens","F-ALVE","?","While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.","?"
"73","De Havilland DH-4","?","September 07, 1922","1   (passengers:0  crew:1)","?","0","Indianapolis, Indiana","US Aerial Mail Service","227","?","The plane stalled shortly after takeoff and crashed.","?"
"74","de Havilland DH-9","14","October 02, 1922","4   (passengers:3  crew:1)","?","0","Venice, Italy","de Havilland Air Service","G-EAYT","Venice - London","Shortly after taking off the plane crashed into the sea and sank.","?"
"75","Breguet 14","?","October 25, 1922","2   (passengers:1  crew:1)","?","0","Larache, Morocco","Grands Express Aeriens","?","?","Crashed under unknown circumstances.","?"
"76","Breguet 14","14","December 03, 1922","1   (passengers:0  crew:1)","?","0","Fez, Morocco","Grands Express Aeriens","F-ALNA","Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat","While flying in foggy conditions the pilot reduced altitude and crashed into a hill.","?"
"77","Lioré-et-Olivier H-13","4","January 10, 1923","3   (passengers:1  crew:2)","?","0","Ajaccio, France","Amee de l'Air","F-AEIB","?","The plane crashed mid-air due to a structural failure of the tail.","?"
"78","Breguet 14","6083-130","January 17, 1923","1   (passengers:0  crew:1)","?","0","Barcelona, Spain","Grands Express Aeriens","F-ALJU","?","Crashed into a mountain during a snowstorm.","?"
"79","De Havilland DH-4","?","January 18, 1923","1   (passengers:0  crew:1)","?","0","Cheyenne, Wyoming","US Aerial Mail Service","223","?","Crashed during a mail flight.","?"
"80","De Havilland DH-4","?","February 26, 1923","1   (passengers:0  crew:1)","?","0","Meadville, Pennsylvania","US Aerial Mail Service","291","?","The pilot lost control of the aircraft  while on approach in poor weather conditions.","?"
"81","Farman F-60 Goliath","15","May 14, 1923","6   (passengers:4  crew:2)","?","0","Near Amiens, Picrdie, France","Grands Express Aeriens (Air Union)","F-AEBY","Paris - London","Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","1342"
"82","Farman F.60 Goliath","4","August 27, 1923","1   (passengers:1  crew:0)","?","0","East Mallling, United Kingdom","Air Union","F-AECB","Paris - Berck-sur-Mer - Croydon","The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","1730"
"83","Blériot Spad 46","28","August 27, 1923","2   (passengers:1  crew:1)","?","0","Bucharest, Romania","Campagnie France Roumaine","F-AEGN","?","Crashed while on approach to Bucharesst.","?"
"84","De Havilland DH-4","?","September 07, 1923","1   (passengers:0  crew:1)","?","0","Colton, Ohio","US Aerial Mail Service","283","?","Crashed during an emergency landing attempt.","?"
"85","de Havilland DH-34","29","September 14, 1923","5   (passengers:3  crew:2)","?","0","Near Ivinghoe, Buckinghamshire, England","Daimler Airways","G-EBBS","Croydon - Manchester","Crashed while attempting a forced landing after encountering heavy rain.","c 18:00"
